                                   | Core 0    
  Instructions                     |   99999993
  Cycles                           |  498795785
  IPC                              |       0.20
  Time (ns)                        |  166265262
Branch predictor stats             |           
  num correct                      |   23486620
  num incorrect                    |    2600551
  misprediction rate               |      9.97%
  mpki                             |      26.01
TLB Summary                        |           
  I-TLB                            |           
    num accesses                   |    8410170
    num misses                     |       6937
    miss rate                      |      0.08%
    mpki                           |       0.07
  D-TLB                            |           
    num accesses                   |   34625062
    num misses                     |     562671
    miss rate                      |      1.63%
    mpki                           |       5.63
  L2 TLB                           |           
    num accesses                   |     569608
    num misses                     |     485729
    miss rate                      |     85.27%
    mpki                           |       4.86
Cache Summary                      |           
  Cache L1-I                       |           
    num cache accesses             |    8410170
    num cache misses               |     157691
    miss rate                      |      1.88%
    mpki                           |       1.58
  Cache L1-D                       |           
    num cache accesses             |   34625062
    num cache misses               |    2988554
    miss rate                      |      8.63%
    mpki                           |      29.89
  Cache L2                         |           
    num cache accesses             |    3149098
    num cache misses               |    3031519
    miss rate                      |     96.27%
    mpki                           |      30.32
  Cache L3                         |           
    num cache accesses             |    3034411
    num cache misses               |    2528282
    miss rate                      |     83.32%
    mpki                           |      25.28
DRAM summary                       |           
  num dram accesses                |    2538607
  average dram access latency (ns) |     103.50
  average dram queueing delay      |      18.47
Coherency Traffic                  |           
  num loads from dram              |    2504341
  num loads from dram cache        |          0
  num loads from remote cache      |          0
