                                   | Core 0    
  Instructions                     |  499999879
  Cycles                           |  507362654
  IPC                              |       0.99
  Time (ns)                        |  169120885
Branch predictor stats             |           
  num correct                      |   17365204
  num incorrect                    |    6348716
  misprediction rate               |     26.77%
  mpki                             |      12.70
TLB Summary                        |           
  I-TLB                            |           
    num accesses                   |   41699136
    num misses                     |         58
    miss rate                      |      0.00%
    mpki                           |       0.00
  D-TLB                            |           
    num accesses                   |  222860710
    num misses                     |     136943
    miss rate                      |      0.06%
    mpki                           |       0.27
  L2 TLB                           |           
    num accesses                   |     137001
    num misses                     |     136642
    miss rate                      |     99.74%
    mpki                           |       0.27
Cache Summary                      |           
  Cache L1-I                       |           
    num cache accesses             |   41699136
    num cache misses               |      55972
    miss rate                      |      0.13%
    mpki                           |       0.11
  Cache L1-D                       |           
    num cache accesses             |  222860710
    num cache misses               |   10033096
    miss rate                      |      4.50%
    mpki                           |      20.07
  Cache L2                         |           
    num cache accesses             |   10765163
    num cache misses               |    8850049
    miss rate                      |     82.21%
    mpki                           |      17.70
  Cache L3                         |           
    num cache accesses             |    9526144
    num cache misses               |    8741785
    miss rate                      |     91.77%
    mpki                           |      17.48
DRAM summary                       |           
  num dram accesses                |    9586998
  average dram access latency (ns) |      53.86
  average dram queueing delay      |       3.86
Coherency Traffic                  |           
  num loads from dram              |          0
  num loads from dram cache        |          0
  num loads from remote cache      |          0
