                                   | Core 0    
  Instructions                     |  499999882
  Cycles                           |  306481633
  IPC                              |       1.63
  Time (ns)                        |  102160545
Branch predictor stats             |           
  num correct                      |   42276330
  num incorrect                    |    6969949
  misprediction rate               |     14.15%
  mpki                             |      13.94
TLB Summary                        |           
  I-TLB                            |           
    num accesses                   |   61159538
    num misses                     |        174
    miss rate                      |      0.00%
    mpki                           |       0.00
  D-TLB                            |           
    num accesses                   |  190148716
    num misses                     |     463189
    miss rate                      |      0.24%
    mpki                           |       0.93
  L2 TLB                           |           
    num accesses                   |     463363
    num misses                     |       4911
    miss rate                      |      1.06%
    mpki                           |       0.01
Cache Summary                      |           
  Cache L1-I                       |           
    num cache accesses             |   61159538
    num cache misses               |     560864
    miss rate                      |      0.92%
    mpki                           |       1.12
  Cache L1-D                       |           
    num cache accesses             |  190148716
    num cache misses               |    3044221
    miss rate                      |      1.60%
    mpki                           |       6.09
  Cache L2                         |           
    num cache accesses             |    3619736
    num cache misses               |    1862726
    miss rate                      |     51.46%
    mpki                           |       3.73
  Cache L3                         |           
    num cache accesses             |    1877386
    num cache misses               |     161246
    miss rate                      |      8.59%
    mpki                           |       0.32
DRAM summary                       |           
  num dram accesses                |     270128
  average dram access latency (ns) |      89.45
  average dram queueing delay      |      24.43
Coherency Traffic                  |           
  num loads from dram              |          0
  num loads from dram cache        |          0
  num loads from remote cache      |          0
