                                   | Core 0    
  Instructions                     |  249999879
  Cycles                           |  191513534
  IPC                              |       1.31
  Time (ns)                        |   63837845
Branch predictor stats             |           
  num correct                      |    5768210
  num incorrect                    |     102901
  misprediction rate               |      1.75%
  mpki                             |       0.41
TLB Summary                        |           
  I-TLB                            |           
    num accesses                   |   22339856
    num misses                     |          4
    miss rate                      |      0.00%
    mpki                           |       0.00
  D-TLB                            |           
    num accesses                   |   98207448
    num misses                     |      52471
    miss rate                      |      0.05%
    mpki                           |       0.21
  L2 TLB                           |           
    num accesses                   |      52475
    num misses                     |      27305
    miss rate                      |     52.03%
    mpki                           |       0.11
Cache Summary                      |           
  Cache L1-I                       |           
    num cache accesses             |   22339856
    num cache misses               |      32160
    miss rate                      |      0.14%
    mpki                           |       0.13
  Cache L1-D                       |           
    num cache accesses             |   98207448
    num cache misses               |    2548990
    miss rate                      |      2.60%
    mpki                           |      10.20
  Cache L2                         |           
    num cache accesses             |    2587086
    num cache misses               |    1803315
    miss rate                      |     69.70%
    mpki                           |       7.21
  Cache L3                         |           
    num cache accesses             |    1811594
    num cache misses               |    1735050
    miss rate                      |     95.77%
    mpki                           |       6.94
DRAM summary                       |           
  num dram accesses                |    2179618
  average dram access latency (ns) |      57.74
  average dram queueing delay      |       2.73
Coherency Traffic                  |           
  num loads from dram              |          0
  num loads from dram cache        |          0
  num loads from remote cache      |          0
