                                     | Core 0    
  Instructions                       |  249999888
  Cycles                             |  328118226
  IPC                                |       0.76
  Time (ns)                          |  109372742
Branch predictor stats               |           
  num correct                        |   19818647
  num incorrect                      |    1620730
  misprediction rate                 |      7.56%
  mpki                               |       6.48
TLB Summary                          |           
  I-TLB                              |           
    num accesses                     |   20925725
    num misses                       |         42
    miss rate                        |      0.00%
    mpki                             |       0.00
  D-TLB                              |           
    num accesses                     |   68803935
    num misses                       |     336505
    miss rate                        |      0.49%
    mpki                             |       1.35
  L2 TLB                             |           
    num accesses                     |     336547
    num misses                       |     104712
    miss rate                        |     31.11%
    mpki                             |       0.42
Cache Summary                        |           
  Cache L1-I                         |           
    num cache accesses               |   20925725
    num cache misses                 |      39955
    miss rate                        |      0.19%
    mpki                             |       0.16
  Cache L1-D                         |           
    num cache accesses               |   68803935
    num cache misses                 |    3686591
    miss rate                        |      5.36%
    mpki                             |      14.75
  Cache L2                           |           
    num cache accesses               |    3769498
    num cache misses                 |    3465253
    miss rate                        |     91.93%
    mpki                             |      13.86
  Cache L3                           |           
    num cache accesses               |    3508286
    num cache misses                 |    3206834
    miss rate                        |     91.41%
    mpki                             |      12.83
DRAM summary                         |           
  num dram accesses                  |    3472309
  average dram access latency (ns)   |      50.65
  average dram queueing delay        |       0.65
  average dram bandwidth utilization |     15.00%
Coherency Traffic                    |           
  num loads from dram                |          0
  num loads from dram cache          |          0
  num loads from remote cache        |          0
