                                   | Core 0    
  Instructions                     |   99999948
  Cycles                           |  143810000
  IPC                              |       0.70
  Time (ns)                        |   47936667
Branch predictor stats             |           
  num correct                      |   14944047
  num incorrect                    |    1702954
  misprediction rate               |     10.23%
  mpki                             |      17.03
TLB Summary                        |           
  I-TLB                            |           
    num accesses                   |   15998319
    num misses                     |        560
    miss rate                      |      0.00%
    mpki                           |       0.01
  D-TLB                            |           
    num accesses                   |   40292068
    num misses                     |     209347
    miss rate                      |      0.52%
    mpki                           |       2.09
  L2 TLB                           |           
    num accesses                   |     209907
    num misses                     |      31759
    miss rate                      |     15.13%
    mpki                           |       0.32
Cache Summary                      |           
  Cache L1-I                       |           
    num cache accesses             |   15998319
    num cache misses               |     363512
    miss rate                      |      2.27%
    mpki                           |       3.64
  Cache L1-D                       |           
    num cache accesses             |   40292068
    num cache misses               |     528269
    miss rate                      |      1.31%
    mpki                           |       5.28
  Cache L2                         |           
    num cache accesses             |     985468
    num cache misses               |     803995
    miss rate                      |     81.59%
    mpki                           |       8.04
  Cache L3                         |           
    num cache accesses             |     897763
    num cache misses               |     786340
    miss rate                      |     87.59%
    mpki                           |       7.86
DRAM summary                       |           
  num dram accesses                |    1556296
  average dram access latency (ns) |      51.15
  average dram queueing delay      |       1.15
Coherency Traffic                  |           
  num loads from dram              |     423045
  num loads from dram cache        |          0
  num loads from remote cache      |          0
