                                   | Core 0    
  Instructions                     |   99999982
  Cycles                           |  389208689
  IPC                              |       0.26
  Time (ns)                        |  129736230
Branch predictor stats             |           
  num correct                      |   23433647
  num incorrect                    |    2590854
  misprediction rate               |      9.96%
  mpki                             |      25.91
TLB Summary                        |           
  I-TLB                            |           
    num accesses                   |    8435880
    num misses                     |       7367
    miss rate                      |      0.09%
    mpki                           |       0.07
  D-TLB                            |           
    num accesses                   |   34662792
    num misses                     |     538666
    miss rate                      |      1.55%
    mpki                           |       5.39
  L2 TLB                           |           
    num accesses                   |     546033
    num misses                     |     457793
    miss rate                      |     83.84%
    mpki                           |       4.58
Cache Summary                      |           
  Cache L1-I                       |           
    num cache accesses             |    8435880
    num cache misses               |     262406
    miss rate                      |      3.11%
    mpki                           |       2.62
  Cache L1-D                       |           
    num cache accesses             |   34662792
    num cache misses               |    3097205
    miss rate                      |      8.94%
    mpki                           |      30.97
  Cache L2                         |           
    num cache accesses             |    3398392
    num cache misses               |    3326761
    miss rate                      |     97.89%
    mpki                           |      33.27
  Cache L3                         |           
    num cache accesses             |    3365672
    num cache misses               |    3246554
    miss rate                      |     96.46%
    mpki                           |      32.47
DRAM summary                       |           
  num dram accesses                |    6476724
  average dram access latency (ns) |      51.04
  average dram queueing delay      |       1.03
Coherency Traffic                  |           
  num loads from dram              |    2969563
  num loads from dram cache        |          0
  num loads from remote cache      |          0
