                                   | Core 0    
  Instructions                     |   99999931
  Cycles                           |   86760872
  IPC                              |       1.15
  Time (ns)                        |   28920291
Branch predictor stats             |           
  num correct                      |     982930
  num incorrect                    |     224757
  misprediction rate               |     18.61%
  mpki                             |       2.25
TLB Summary                        |           
  I-TLB                            |           
    num accesses                   |    9055153
    num misses                     |         36
    miss rate                      |      0.00%
    mpki                           |       0.00
  D-TLB                            |           
    num accesses                   |   48007680
    num misses                     |     124088
    miss rate                      |      0.26%
    mpki                           |       1.24
  L2 TLB                           |           
    num accesses                   |     124124
    num misses                     |       2033
    miss rate                      |      1.64%
    mpki                           |       0.02
Cache Summary                      |           
  Cache L1-I                       |           
    num cache accesses             |    9055153
    num cache misses               |      11169
    miss rate                      |      0.12%
    mpki                           |       0.11
  Cache L1-D                       |           
    num cache accesses             |   48007680
    num cache misses               |     618301
    miss rate                      |      1.29%
    mpki                           |       6.18
  Cache L2                         |           
    num cache accesses             |     635462
    num cache misses               |     439100
    miss rate                      |     69.10%
    mpki                           |       4.39
  Cache L3                         |           
    num cache accesses             |     445093
    num cache misses               |      84958
    miss rate                      |     19.09%
    mpki                           |       0.85
DRAM summary                       |           
  num dram accesses                |      98437
  average dram access latency (ns) |      56.47
  average dram queueing delay      |       1.46
Coherency Traffic                  |           
  num loads from dram              |          0
  num loads from dram cache        |          0
  num loads from remote cache      |          0
