                                     | Core 0    
  Instructions                       |  249999939
  Cycles                             |  189213904
  IPC                                |       1.32
  Time (ns)                          |   63071302
Branch predictor stats               |           
  num correct                        |     325726
  num incorrect                      |       5522
  misprediction rate                 |      1.67%
  mpki                               |       0.02
TLB Summary                          |           
  I-TLB                              |           
    num accesses                     |   28636353
    num misses                       |          6
    miss rate                        |      0.00%
    mpki                             |       0.00
  D-TLB                              |           
    num accesses                     |  187012795
    num misses                       |    6745328
    miss rate                        |      3.61%
    mpki                             |      26.98
  L2 TLB                             |           
    num accesses                     |    6745334
    num misses                       |    4860088
    miss rate                        |     72.05%
    mpki                             |      19.44
Cache Summary                        |           
  Cache L1-I                         |           
    num cache accesses               |   28636353
    num cache misses                 |     120387
    miss rate                        |      0.42%
    mpki                             |       0.48
  Cache L1-D                         |           
    num cache accesses               |  187012795
    num cache misses                 |    2058190
    miss rate                        |      1.10%
    mpki                             |       8.23
  Cache L2                           |           
    num cache accesses               |    2178590
    num cache misses                 |    1521803
    miss rate                        |     69.85%
    mpki                             |       6.09
  Cache L3                           |           
    num cache accesses               |    1521816
    num cache misses                 |     785678
    miss rate                        |     51.63%
    mpki                             |       3.14
DRAM summary                         |           
  num dram accesses                  |    1040378
  average dram access latency (ns)   |     119.44
  average dram queueing delay        |       9.43
  average dram bandwidth utilization |     16.00%
Coherency Traffic                    |           
  num loads from dram                |          0
  num loads from dram cache          |          0
  num loads from remote cache        |          0
