                                   | Core 0    
  Instructions                     |   99999882
  Cycles                           |  147864620
  IPC                              |       0.68
  Time (ns)                        |   49288207
Branch predictor stats             |           
  num correct                      |    7976092
  num incorrect                    |     656868
  misprediction rate               |      7.61%
  mpki                             |       6.57
TLB Summary                        |           
  I-TLB                            |           
    num accesses                   |    8296535
    num misses                     |         42
    miss rate                      |      0.00%
    mpki                           |       0.00
  D-TLB                            |           
    num accesses                   |   27674770
    num misses                     |     135482
    miss rate                      |      0.49%
    mpki                           |       1.35
  L2 TLB                           |           
    num accesses                   |     135524
    num misses                     |      42579
    miss rate                      |     31.42%
    mpki                           |       0.43
Cache Summary                      |           
  Cache L1-I                       |           
    num cache accesses             |    8296535
    num cache misses               |      46043
    miss rate                      |      0.55%
    mpki                           |       0.46
  Cache L1-D                       |           
    num cache accesses             |   27674770
    num cache misses               |    1670897
    miss rate                      |      6.04%
    mpki                           |      16.71
  Cache L2                         |           
    num cache accesses             |    1737365
    num cache misses               |    1567703
    miss rate                      |     90.23%
    mpki                           |      15.68
  Cache L3                         |           
    num cache accesses             |    1588697
    num cache misses               |    1439631
    miss rate                      |     90.62%
    mpki                           |      14.40
DRAM summary                       |           
  num dram accesses                |    2862878
  average dram access latency (ns) |      51.39
  average dram queueing delay      |       1.39
Coherency Traffic                  |           
  num loads from dram              |    1314563
  num loads from dram cache        |          0
  num loads from remote cache      |          0
