                                     | Core 0    
  Instructions                       |  249999883
  Cycles                             |  237017537
  IPC                                |       1.05
  Time (ns)                          |   79005846
Branch predictor stats               |           
  num correct                        |   13678195
  num incorrect                      |    9414386
  misprediction rate                 |     40.77%
  mpki                               |      37.66
TLB Summary                          |           
  I-TLB                              |           
    num accesses                     |   20500819
    num misses                       |         52
    miss rate                        |      0.00%
    mpki                             |       0.00
  D-TLB                              |           
    num accesses                     |   73920987
    num misses                       |       4511
    miss rate                        |      0.01%
    mpki                             |       0.02
  L2 TLB                             |           
    num accesses                     |       4563
    num misses                       |       4160
    miss rate                        |     91.17%
    mpki                             |       0.02
Cache Summary                        |           
  Cache L1-I                         |           
    num cache accesses               |   20500819
    num cache misses                 |       2221
    miss rate                        |      0.01%
    mpki                             |       0.01
  Cache L1-D                         |           
    num cache accesses               |   73920987
    num cache misses                 |     265995
    miss rate                        |      0.36%
    mpki                             |       1.06
  Cache L2                           |           
    num cache accesses               |     269599
    num cache misses                 |     259536
    miss rate                        |     96.27%
    mpki                             |       1.04
  Cache L3                           |           
    num cache accesses               |     260930
    num cache misses                 |     220082
    miss rate                        |     84.35%
    mpki                             |       0.88
DRAM summary                         |           
  num dram accesses                  |     220082
  average dram access latency (ns)   |     110.85
  average dram queueing delay        |       0.84
  average dram bandwidth utilization |      2.00%
Coherency Traffic                    |           
  num loads from dram                |          0
  num loads from dram cache          |          0
  num loads from remote cache        |          0
