                                   | Core 0    
  Instructions                     |  499999916
  Cycles                           |  436938375
  IPC                              |       1.14
  Time (ns)                        |  145646125
Branch predictor stats             |           
  num correct                      |    8844123
  num incorrect                    |    1389904
  misprediction rate               |     13.58%
  mpki                             |       2.78
TLB Summary                        |           
  I-TLB                            |           
    num accesses                   |   47373602
    num misses                     |         62
    miss rate                      |      0.00%
    mpki                           |       0.00
  D-TLB                            |           
    num accesses                   |  253196028
    num misses                     |     555359
    miss rate                      |      0.22%
    mpki                           |       1.11
  L2 TLB                           |           
    num accesses                   |     555421
    num misses                     |       7401
    miss rate                      |      1.33%
    mpki                           |       0.01
Cache Summary                      |           
  Cache L1-I                       |           
    num cache accesses             |   47373602
    num cache misses               |      84178
    miss rate                      |      0.18%
    mpki                           |       0.17
  Cache L1-D                       |           
    num cache accesses             |  253196028
    num cache misses               |    3787147
    miss rate                      |      1.50%
    mpki                           |       7.57
  Cache L2                         |           
    num cache accesses             |    3887418
    num cache misses               |    2054765
    miss rate                      |     52.86%
    mpki                           |       4.11
  Cache L3                         |           
    num cache accesses             |    2070873
    num cache misses               |     214670
    miss rate                      |     10.37%
    mpki                           |       0.43
DRAM summary                       |           
  num dram accesses                |     251294
  average dram access latency (ns) |      66.64
  average dram queueing delay      |       1.62
Coherency Traffic                  |           
  num loads from dram              |          0
  num loads from dram cache        |          0
  num loads from remote cache      |          0
