                                   | Core 0    
  Instructions                     |  249999910
  Cycles                           |  648909158
  IPC                              |       0.39
  Time (ns)                        |  216303053
Branch predictor stats             |           
  num correct                      |    8515508
  num incorrect                    |    3973583
  misprediction rate               |     31.82%
  mpki                             |      15.89
TLB Summary                        |           
  I-TLB                            |           
    num accesses                   |   19582128
    num misses                     |          3
    miss rate                      |      0.00%
    mpki                           |       0.00
  D-TLB                            |           
    num accesses                   |  107816594
    num misses                     |     111980
    miss rate                      |      0.10%
    mpki                           |       0.45
  L2 TLB                           |           
    num accesses                   |     111983
    num misses                     |      76686
    miss rate                      |     68.48%
    mpki                           |       0.31
Cache Summary                      |           
  Cache L1-I                       |           
    num cache accesses             |   19582128
    num cache misses               |      27149
    miss rate                      |      0.14%
    mpki                           |       0.11
  Cache L1-D                       |           
    num cache accesses             |  107816594
    num cache misses               |    5532744
    miss rate                      |      5.13%
    mpki                           |      22.13
  Cache L2                         |           
    num cache accesses             |    5959948
    num cache misses               |    4995867
    miss rate                      |     83.82%
    mpki                           |      19.98
  Cache L3                         |           
    num cache accesses             |    5395922
    num cache misses               |    4951176
    miss rate                      |     91.76%
    mpki                           |      19.80
DRAM summary                       |           
  num dram accesses                |    5431717
  average dram access latency (ns) |     177.02
  average dram queueing delay      |      91.98
Coherency Traffic                  |           
  num loads from dram              |          0
  num loads from dram cache        |          0
  num loads from remote cache      |          0
