                                   | Core 0    
  Instructions                     |   99999993
  Cycles                           |  369196245
  IPC                              |       0.27
  Time (ns)                        |  123065415
Branch predictor stats             |           
  num correct                      |   23486620
  num incorrect                    |    2600551
  misprediction rate               |      9.97%
  mpki                             |      26.01
TLB Summary                        |           
  I-TLB                            |           
    num accesses                   |    8410170
    num misses                     |       6937
    miss rate                      |      0.08%
    mpki                           |       0.07
  D-TLB                            |           
    num accesses                   |   34625062
    num misses                     |     562650
    miss rate                      |      1.62%
    mpki                           |       5.63
  L2 TLB                           |           
    num accesses                   |     569587
    num misses                     |     485730
    miss rate                      |     85.28%
    mpki                           |       4.86
Cache Summary                      |           
  Cache L1-I                       |           
    num cache accesses             |    8410170
    num cache misses               |     161185
    miss rate                      |      1.92%
    mpki                           |       1.61
  Cache L1-D                       |           
    num cache accesses             |   34625062
    num cache misses               |    2993346
    miss rate                      |      8.65%
    mpki                           |      29.93
  Cache L2                         |           
    num cache accesses             |    3169072
    num cache misses               |    3054964
    miss rate                      |     96.40%
    mpki                           |      30.55
  Cache L3                         |           
    num cache accesses             |    3069697
    num cache misses               |    3010110
    miss rate                      |     98.06%
    mpki                           |      30.10
DRAM summary                       |           
  num dram accesses                |    3038899
  average dram access latency (ns) |      58.69
  average dram queueing delay      |       3.68
Coherency Traffic                  |           
  num loads from dram              |          0
  num loads from dram cache        |          0
  num loads from remote cache      |          0
