                                   | Core 0    
  Instructions                     |   99999882
  Cycles                           |  192756200
  IPC                              |       0.52
  Time (ns)                        |   64252067
Branch predictor stats             |           
  num correct                      |     586923
  num incorrect                    |       5938
  misprediction rate               |      1.00%
  mpki                             |       0.06
TLB Summary                        |           
  I-TLB                            |           
    num accesses                   |    8642534
    num misses                     |         18
    miss rate                      |      0.00%
    mpki                           |       0.00
  D-TLB                            |           
    num accesses                   |   52081001
    num misses                     |    1063750
    miss rate                      |      2.04%
    mpki                           |      10.64
  L2 TLB                           |           
    num accesses                   |    1063768
    num misses                     |     655788
    miss rate                      |     61.65%
    mpki                           |       6.56
Cache Summary                      |           
  Cache L1-I                       |           
    num cache accesses             |    8642534
    num cache misses               |      97419
    miss rate                      |      1.13%
    mpki                           |       0.97
  Cache L1-D                       |           
    num cache accesses             |   52081001
    num cache misses               |    3961789
    miss rate                      |      7.61%
    mpki                           |      39.62
  Cache L2                         |           
    num cache accesses             |    4353724
    num cache misses               |    3419294
    miss rate                      |     78.54%
    mpki                           |      34.19
  Cache L3                         |           
    num cache accesses             |    3713810
    num cache misses               |    3399453
    miss rate                      |     91.54%
    mpki                           |      33.99
DRAM summary                       |           
  num dram accesses                |    6782522
  average dram access latency (ns) |      51.56
  average dram queueing delay      |       1.55
Coherency Traffic                  |           
  num loads from dram              |    3157307
  num loads from dram cache        |          0
  num loads from remote cache      |          0
