                                   | Core 0    
  Instructions                     |  499999886
  Cycles                           |  424101000
  IPC                              |       1.18
  Time (ns)                        |  141367000
Branch predictor stats             |           
  num correct                      |   28128847
  num incorrect                    |    1634481
  misprediction rate               |      5.49%
  mpki                             |       3.27
TLB Summary                        |           
  I-TLB                            |           
    num accesses                   |   49338103
    num misses                     |         92
    miss rate                      |      0.00%
    mpki                           |       0.00
  D-TLB                            |           
    num accesses                   |  157040580
    num misses                     |     257695
    miss rate                      |      0.16%
    mpki                           |       0.52
  L2 TLB                           |           
    num accesses                   |     257787
    num misses                     |      45992
    miss rate                      |     17.84%
    mpki                           |       0.09
Cache Summary                      |           
  Cache L1-I                       |           
    num cache accesses             |   49338103
    num cache misses               |      35758
    miss rate                      |      0.07%
    mpki                           |       0.07
  Cache L1-D                       |           
    num cache accesses             |  157040580
    num cache misses               |    4450270
    miss rate                      |      2.83%
    mpki                           |       8.90
  Cache L2                         |           
    num cache accesses             |    5126296
    num cache misses               |    3475252
    miss rate                      |     67.79%
    mpki                           |       6.95
  Cache L3                         |           
    num cache accesses             |    4134149
    num cache misses               |    3207134
    miss rate                      |     77.58%
    mpki                           |       6.41
DRAM summary                       |           
  num dram accesses                |    4436685
  average dram access latency (ns) |      50.51
  average dram queueing delay      |       0.51
Coherency Traffic                  |           
  num loads from dram              |          0
  num loads from dram cache        |          0
  num loads from remote cache      |          0
