                                   | Core 0    
  Instructions                     |  249999907
  Cycles                           |  219010416
  IPC                              |       1.14
  Time (ns)                        |   73003472
Branch predictor stats             |           
  num correct                      |    4611008
  num incorrect                    |     704186
  misprediction rate               |     13.25%
  mpki                             |       2.82
TLB Summary                        |           
  I-TLB                            |           
    num accesses                   |   23785065
    num misses                     |         62
    miss rate                      |      0.00%
    mpki                           |       0.00
  D-TLB                            |           
    num accesses                   |  127043714
    num misses                     |     281113
    miss rate                      |      0.22%
    mpki                           |       1.12
  L2 TLB                           |           
    num accesses                   |     281175
    num misses                     |       4009
    miss rate                      |      1.43%
    mpki                           |       0.02
Cache Summary                      |           
  Cache L1-I                       |           
    num cache accesses             |   23785065
    num cache misses               |      42354
    miss rate                      |      0.18%
    mpki                           |       0.17
  Cache L1-D                       |           
    num cache accesses             |  127043714
    num cache misses               |    1941639
    miss rate                      |      1.53%
    mpki                           |       7.77
  Cache L2                         |           
    num cache accesses             |    1995663
    num cache misses               |    1037549
    miss rate                      |     51.99%
    mpki                           |       4.15
  Cache L3                         |           
    num cache accesses             |    1049234
    num cache misses               |     114401
    miss rate                      |     10.90%
    mpki                           |       0.46
DRAM summary                       |           
  num dram accesses                |     120455
  average dram access latency (ns) |      67.05
  average dram queueing delay      |       2.03
Coherency Traffic                  |           
  num loads from dram              |          0
  num loads from dram cache        |          0
  num loads from remote cache      |          0
